City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01
1,Islahiye,TR,2022-02-06 17:22:22,37.025,36.6306,42.58,89,97,3.74
2,Olinda,BR,2022-02-06 17:22:22,-8.0089,-34.8553,85.73,58,20,9.22
3,Meybod,IR,2022-02-06 17:22:22,32.2501,54.0166,48.22,21,0,2.26
4,Nara,JP,2022-02-06 17:22:22,34.6851,135.8049,38.48,62,12,4.63
5,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
6,Bredasdorp,ZA,2022-02-06 17:09:25,-34.5322,20.0403,79.56,37,25,9.86
7,Pandharpur,IN,2022-02-06 17:22:23,17.6667,75.3333,77.65,25,53,8.19
8,Batticaloa,LK,2022-02-06 17:22:23,7.7102,81.6924,77.92,77,100,8.66
9,Saint George,US,2022-02-06 17:10:33,37.1041,-113.5841,48.25,32,0,1.99
10,Cape Town,ZA,2022-02-06 17:21:38,-33.9258,18.4232,75.88,51,0,1.01
11,Zharkovskiy,RU,2022-02-06 17:22:24,55.849,32.2697,30.11,90,100,9.64
12,Atar,MR,2022-02-06 17:22:24,20.5169,-13.0499,91.49,6,0,6.93
13,Punta Arenas,CL,2022-02-06 17:21:25,-53.15,-70.9167,69.91,46,75,17.27
14,Yar-Sale,RU,2022-02-06 17:18:47,66.8333,70.8333,-14.48,100,68,6.35
15,Aksu,CN,2022-02-06 17:22:24,41.1231,80.2644,22.46,47,86,2.46
16,Cape Town,ZA,2022-02-06 17:21:38,-33.9258,18.4232,75.88,51,0,1.01
17,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
18,Ushtobe,KZ,2022-02-06 17:22:25,45.2514,77.9838,20.03,89,45,3.22
19,Klaksvik,FO,2022-02-06 17:12:28,62.2266,-6.589,36.52,61,87,37.51
20,Longyearbyen,SJ,2022-02-06 17:20:34,78.2186,15.6401,19.24,63,40,19.57
21,Brae,GB,2022-02-06 17:22:25,60.3964,-1.353,39.11,59,100,30.4
22,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
23,Taoudenni,ML,2022-02-06 17:22:26,22.6783,-3.9836,81.27,7,100,8.01
24,Rameshki,RU,2022-02-06 17:22:26,57.3439,36.0453,22.26,97,99,5.73
25,Gravdal,NO,2022-02-06 17:22:26,68.1214,13.5031,33.69,64,40,5.75
26,Paracuru,BR,2022-02-06 17:22:27,-3.41,-39.0306,87.82,59,60,11.79
27,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
28,Djibo,BF,2022-02-06 17:22:27,14.1022,-1.6306,87.89,8,0,8.34
29,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
30,Carnarvon,AU,2022-02-06 17:18:42,-24.8667,113.6333,74.8,70,28,23.09
31,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
32,Berlevag,NO,2022-02-06 17:14:47,70.8578,29.0864,24.8,86,63,21.85
33,Taoudenni,ML,2022-02-06 17:22:26,22.6783,-3.9836,81.27,7,100,8.01
34,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
35,Manoel Urbano,BR,2022-02-06 17:22:28,-8.8389,-69.2597,84.87,74,93,3.22
36,Yar-Sale,RU,2022-02-06 17:18:47,66.8333,70.8333,-14.48,100,68,6.35
37,Krasnoye,UA,2022-02-06 17:22:29,49.9145,24.6134,36.75,77,100,16.04
38,Tasiilaq,GL,2022-02-06 17:22:29,65.6145,-37.6368,23.16,60,100,26.24
39,Ponta Do Sol,PT,2022-02-06 17:22:29,32.6667,-17.1,66.13,52,11,12.06
40,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
41,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
42,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01
43,Sinop,TR,2022-02-06 17:22:30,41.7711,34.8709,36.03,95,98,2.75
44,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
45,Vologda,RU,2022-02-06 17:22:30,59.2187,39.8886,11.75,95,98,7.61
46,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01
47,Souillac,MU,2022-02-06 17:22:31,-20.5167,57.5167,79.36,83,40,11.5
48,Stephenville,US,2022-02-06 17:23:31,32.2207,-98.2023,48.33,37,0,11.5
49,East London,ZA,2022-02-06 17:23:31,-33.0153,27.9116,74.34,88,40,16.11
50,Saint-Philippe,RE,2022-02-06 17:23:31,-21.3585,55.7679,80.15,81,99,15.7
51,Zemio,CF,2022-02-06 17:23:32,5.0314,25.1361,78.48,19,100,3.11
52,Longyearbyen,SJ,2022-02-06 17:20:34,78.2186,15.6401,19.24,63,40,19.57
53,Xuddur,SO,2022-02-06 17:23:32,4.1213,43.8894,81.81,22,34,10.56
54,Hambantota,LK,2022-02-06 17:22:26,6.1241,81.1185,76.32,74,99,12.8
55,Dombarovskiy,RU,2022-02-06 17:23:32,50.7587,59.5386,20.3,97,100,3.22
56,Mar Del Plata,AR,2022-02-06 17:23:33,-38.0023,-57.5575,66.22,90,100,24.0
57,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
58,Muros,ES,2022-02-06 17:18:41,42.7762,-9.0603,58.68,60,65,11.41
59,Ponta Do Sol,PT,2022-02-06 17:22:29,32.6667,-17.1,66.13,52,11,12.06
60,Maun,BW,2022-02-06 17:23:33,-19.9833,23.4167,76.91,52,69,7.56
61,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
62,Neuquen,AR,2022-02-06 17:23:34,-38.9516,-68.0591,84.09,21,0,5.75
63,Sharan,RU,2022-02-06 17:23:34,54.8167,54.0,8.4,98,95,2.77
64,Taoudenni,ML,2022-02-06 17:22:26,22.6783,-3.9836,81.27,7,100,8.01
65,Sorkjosen,NO,2022-02-06 17:23:34,69.8,20.9333,23.54,78,70,14.81
66,Kulhudhuffushi,MV,2022-02-06 17:22:44,6.6221,73.07,80.87,67,80,9.62
67,Carauari,BR,2022-02-06 17:18:55,-4.8828,-66.8958,79.97,80,98,0.63
68,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
69,Viedma,AR,2022-02-06 17:23:35,-40.8135,-62.9967,72.81,31,15,7.31
70,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
71,Busselton,AU,2022-02-06 17:18:44,-33.65,115.3333,55.09,66,77,18.95
72,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
73,Agadir,MA,2022-02-06 17:23:35,30.4202,-9.5982,81.05,40,20,10.83
