City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
0,0,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01,Hampton Inn & Suites Jamestown
4,4,Nara,JP,2022-02-06 17:22:22,34.6851,135.8049,38.48,62,12,4.63,Guesthouse Nara Komachi
11,11,Zharkovskiy,RU,2022-02-06 17:22:24,55.849,32.2697,30.11,90,100,9.64,"Gostinitsa ""Mezha"""
19,19,Klaksvik,FO,2022-02-06 17:12:28,62.2266,-6.589,36.52,61,87,37.51,Airbnb rooms
21,21,Brae,GB,2022-02-06 17:22:25,60.3964,-1.353,39.11,59,100,30.4,Busta House Hotel
25,25,Gravdal,NO,2022-02-06 17:22:26,68.1214,13.5031,33.69,64,40,5.75,Skreda Rorbusuiter
37,37,Krasnoye,UA,2022-02-06 17:22:29,49.9145,24.6134,36.75,77,100,16.04,Feniks
42,42,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01,Hampton Inn & Suites Jamestown
46,46,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01,Hampton Inn & Suites Jamestown
104,104,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01,Hampton Inn & Suites Jamestown
132,132,Brae,GB,2022-02-06 17:22:25,60.3964,-1.353,39.11,59,100,30.4,Busta House Hotel
136,136,Kalamazoo,US,2022-02-06 17:20:27,42.2506,-85.55,31.03,64,0,13.8,Four Points by Sheraton Kalamazoo
137,137,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01,Hampton Inn & Suites Jamestown
160,160,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01,Hampton Inn & Suites Jamestown
164,164,Ceica,RO,2022-02-06 17:25:53,46.85,22.1833,38.98,76,100,8.28,Camin cultural Ceica
241,241,Dzialdowo,PL,2022-02-06 17:28:06,53.2396,20.17,38.97,97,100,17.0,VARIA
243,243,Jumla,NP,2022-02-06 17:28:07,29.2747,82.1838,33.89,66,34,5.41,Royal Garden Hotel
265,265,Lentekhi,GE,2022-02-06 17:28:12,42.7856,42.7261,30.6,97,100,2.98,Konstanta Hotel
276,276,Klaksvik,FO,2022-02-06 17:29:14,62.2266,-6.589,36.52,61,87,37.51,Airbnb rooms
290,290,Roald,NO,2022-02-06 17:29:17,62.5833,6.1333,39.99,65,75,13.8,Flem Cabins
293,293,Havoysund,NO,2022-02-06 17:29:18,70.9963,24.6622,30.43,74,30,29.1,Arctic View Glamping & Restaurant
302,302,Klaksvik,FO,2022-02-06 17:29:14,62.2266,-6.589,36.52,61,87,37.51,Airbnb rooms
337,337,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01,Hampton Inn & Suites Jamestown
348,348,Carlisle,US,2022-02-06 17:30:29,40.2015,-77.1889,32.99,55,93,1.99,Fairfield Inn & Suites by Marriott Carlisle
371,371,Divnoye,RU,2022-02-06 17:31:33,45.9089,43.3547,33.1,97,99,22.75,Motel Manych-Gudilo
